dance_hours,performance_score
10.587231,82.88606
10.980047,84.180504
4.594365,51.343117
11.511667,88.33027
4.6853786,52.35547
7.210744,64.09768
3.0788698,36.161827
9.523696,78.44402
11.289257,88.78265
1.5982311,26.549646
11.215178,79.10651
7.122956,56.619923
10.432854,84.2166
6.8125834,63.403008
8.893128,74.6089
5.152854,50.783115
10.625315,88.96472
6.886853,63.272594
3.1989605,43.729733
7.52939,63.754097
3.2355802,40.86082
5.296363,59.775562
3.56305,44.030327
9.980226,82.70029
1.2637789,27.66777
3.233938,36.08654
4.305752,41.511078
2.3923652,31.218775
6.5662985,61.42618
0.07392526,20.771866
11.418654,90.28783
0.9031906,22.523008
10.632164,81.94849
6.998515,61.73555
4.051773,38.843704
9.7077,79.56546
6.9351044,57.6798
10.84778,86.29377
6.655918,60.650276
4.107761,44.12933
7.612102,59.370964
4.3729234,55.24089
8.525146,75.15579
11.356933,93.59854
9.468357,79.343414
3.3769648,41.88179
9.463588,78.14789
7.0735574,61.55592
9.04701,74.97366
2.3429697,38.263268
0.06054926,20.393263
3.6818368,41.78156
1.3978629,30.95794
10.923233,87.83639
7.728188,68.71602
8.485281,70.836296
7.897567,63.728104
5.895624,61.30962
10.69565,80.53028
1.7369184,28.30511
6.3777823,55.046112
1.9047589,33.49174
7.850112,64.249146
3.9337063,44.480732
7.8384976,69.28503
4.7499514,55.93258
10.976351,90.0344
2.4437885,31.207468
2.421612,37.870033
2.421396,33.265533
11.396657,89.45637
7.999507,68.33865
11.773504,84.98952
1.0483425,18.77383
0.048743248,19.573128
1.3058174,30.996447
1.9638655,33.87896
8.430241,69.50404
8.148455,62.41449
10.985546,85.91831
2.9014478,40.863647
1.9097292,29.102375
9.183469,70.964806
3.574773,40.57718
9.641542,81.04388
4.576196,51.099056
9.432276,76.241585
1.338192,29.377144
2.9721014,35.909576
7.829259,68.24076
7.268445,65.15696
4.4702473,49.756264
9.576417,78.462616
10.0788555,80.78112
1.6489599,29.068396
2.7967908,45.45989
11.493972,91.05566
3.975405,47.739353
3.8729017,42.125996
0.19443226,18.720201
2.5639787,33.15512
7.498822,61.119545
5.208041,54.73336
1.6446841,29.485542
6.1407404,58.229576
1.901511,29.248413
0.90962005,28.885164
2.6960242,33.487946
0.74872756,28.765356
2.1795716,32.066536
11.997653,91.23331
7.1332498,59.714886
7.848958,67.94848
0.4038942,17.48294
2.0593572,39.79294
4.002865,44.24169
6.9382267,64.70706
0.7204721,34.552483
3.4147618,42.775
2.4079885,39.886185
6.0166273,57.315636
3.7673807,46.33987
5.5842257,45.61503
1.9342217,25.957386
1.881629,38.234333
2.4995892,42.33765
3.9462154,47.197353
1.2643147,27.810207
11.030819,84.36074
4.8092155,48.60764
11.16238,86.08553
7.8694925,62.22912
0.91921806,23.570541
10.152211,79.56928
4.349131,46.241653
3.7000437,44.173874
1.019577,26.860518
0.035036087,16.331036
7.716664,73.872604
4.689337,49.914776
8.335938,70.56111
1.0760193,27.691322
10.454575,89.37415
1.5956776,30.274551
4.9639597,51.092983
7.253218,64.03619
9.097511,85.992966
10.843863,82.0889
11.465755,89.57602
1.2424672,22.114632
7.5100036,66.63807
3.4192443,47.33965
5.342491,50.826435
1.5090594,26.192371
11.465152,89.09558
1.596297,28.726946
9.206707,72.97521
8.108638,70.24751
7.9497356,73.17638
2.7561228,35.52917
11.453709,92.113716
7.3185024,61.12966
6.77184,61.853508
0.71247125,25.438454
8.518731,72.74657
5.0998764,45.55552
3.2512543,43.173588
11.153679,86.81005
7.3376927,64.74087
2.6803415,35.92802
2.9631665,37.431465
5.7134657,49.559673
9.350168,82.28518
4.466797,48.9798
2.5765507,39.433147
3.9453428,45.698742
1.517551,23.765038
8.139795,75.44532
10.644241,91.789474
0.35135794,21.688976
7.393504,66.322174
9.09955,72.84744
7.0879765,57.647415
3.8632522,40.837852
9.131653,74.88872
9.153079,70.66188
8.243564,66.42061
4.9456716,48.044006
4.4111924,50.316612
6.6418858,59.280746
4.9400754,50.25131
4.2119937,45.116753
9.835241,82.78987
11.156397,80.608765
5.406016,56.384613
4.656619,52.522408
6.087554,55.958076
5.6417503,52.745136
7.4424677,63.881954
7.6814017,69.19553
